,day sin,day cos,year sin,year cos,0x16cb02173ebf3059efdc97fd1819f14a2
0,0.5176380902107119,-1.9318516525766172,-1.9882898330692578,-0.2161100176146937,-0.19566086712745498
1,0.3901806440334663,-1.9615705608062202,-1.9883285271091011,-0.21575372136802692,-0.22496444871057425
2,0.26105238445115614,-1.9828897227461657,-1.988367157301606,-0.21539741819327923,-0.17845041552509783
3,0.1308062584667835,-1.995717846476781,-1.9884057236455317,-0.2150411081018919,-0.23524231257556785
4,1.8742903226602864e-12,-2.0,-1.9884442261396398,-0.21468479110530642,-0.19213406438824768
5,-0.1308062584485222,-1.9957178464779781,-1.988482664782694,-0.2143284672149645,-0.22100543975332684
6,-0.2610523844330122,-1.9828897227485545,-1.98852103957346,-0.21397213644230811,-0.21379624003641778
7,-0.39018064402978975,-1.9615705608069516,-1.9885593505107055,-0.2136157987987794,-0.20365668216119692
8,-0.5176380901930351,-1.9318516525813536,-1.9885975975932006,-0.21325945429582072,-0.16111894618168976
9,-0.6428789305989437,-1.8938602589927163,-1.9886357808197166,-0.2129031029448747,-0.20323312006751776
10,-0.7653668647272638,-1.8477590650237812,-1.988673900189028,-0.21254674475738414,-0.22881972817549182
11,-0.8845773804262796,-1.7937454830711577,-1.98871195569991,-0.21219037974479207,-0.21163520894621718
12,-0.9999999999926961,-1.7320508075730943,-1.9887499473511412,-0.2118340079185418,-0.25884077208055767
13,-1.1111404660360475,-1.6629392246072,-1.9887878751415016,-0.21147762929007677,-0.2582875481214664
14,-1.217522858018108,-1.5867066805819587,-1.988825739069773,-0.21112124387084066,-0.21371844291717046
15,-1.3186916301933151,-1.5036796149639382,-1.9888635391347398,-0.2107648516722774,-0.8366399767296537
16,-1.4142135623699572,-1.4142135623762329,-1.9889012753351882,-0.21040845270583114,-0.22751446539701084
17,-1.5036796149580862,-1.3186916301999878,-1.9889389476699062,-0.21005204698294622,-0.15904435633509723
18,-1.586706680576556,-1.2175228580251491,-1.9889765561376844,-0.2096956345150672,-0.13973338251306522
19,-1.662939224602269,-1.111140466043427,-1.989014100737315,-0.20933921531363886,-0.2463500123791986
20,-1.7320508075686565,-1.0000000000003824,-1.9890515814675924,-0.2089827893901062,-0.22633886448394167
21,-1.7937454830607962,-0.8845773804472908,-1.9890889983273132,-0.20862635675591443,-0.1803521228844743
22,-1.8477590650203848,-0.7653668647354634,-1.9891263513152757,-0.20826991742250897,-0.19796884833178918
23,-1.8938602589898634,-0.642878930607348,-1.9891636404302804,-0.2079134714013355,-0.20751196162611465
24,-1.9318516525752902,-0.517638090215664,-1.9892008656711302,-0.20755701870383989,-0.16430862807082564
25,-1.96157056080522,-0.39018064403849445,-1.9892380270366297,-0.20720055934146814,-0.13222163844352816
26,-1.9828897227473958,-0.26105238444181156,-1.989275124525591,-0.20684409332561007,-0.15313177527230853
27,-1.9957178464764458,-0.13080625847189922,-1.989312158136812,-0.20648762066782522,-0.19655121193661762
28,-2.0,-7.000978625849324e-12,-1.9893491278691087,-0.2061311413795038,-0.19661172080714306
29,-1.9957178464773617,0.13080625845792723,-1.989386033721294,-0.2057746554720927,-0.17598684008226925
30,-1.9828897227492235,0.2610523844279294,-1.989422875692183,-0.2054181629570391,-0.22301952072939368
31,-1.9615705608079517,0.39018064402476155,-1.9894596537805929,-0.20506166384579033,-0.1764536227977526
32,-1.9318516525789142,0.5176380902021391,-1.9894963679853421,-0.20470515814979395,-0.15240566882600123
33,-1.8938602589943643,0.6428789305940892,-1.9895330183052522,-0.20434864588049775,-0.255288036968268
34,-1.8477590650257432,0.7653668647225274,-1.989569604739146,-0.2039921270493497,-0.1816919621603987
35,-1.793745483066989,0.8845773804347329,-1.989606127285849,-0.203635601667798,-0.2526775114113059
36,-1.7320508075683816,1.0000000000008586,-1.9896425859441882,-0.2032790697472911,-0.23605486026548334
37,-1.662939224610048,1.1111404660317847,-1.9896789807129927,-0.20292253129927756,-0.23522502432684636
38,-1.5867066805850798,1.2175228580140407,-1.9897153115910942,-0.20256598633520626,-0.17296139655598858
39,-1.5036796149577236,1.3186916302004013,-1.9897515785773259,-0.20220943486652618,-0.156779595752567
40,-1.4142135623798582,1.414213562366332,-1.9897877816705232,-0.20185287690468662,-0.2278342979983605
