,day sin,day cos,year sin,year cos,datetime,0x16cb02173ebf3059efdc97fd1819f14a2,0x1c9d08cd16fce04790ef900695861e786,0x1612e4cbe3b1b85c3dbcaeaa504ee8424,0x20158d36236a640cf0524dba149459169,0xc305005dcb1ed6128d816954c5ab9e7e,0xed7bfe627d07d57c704bfcd76b05b2c4,0x16f67b7666163486f78fdeee3fa79e760,0x1d9947dd524e62a35601ba411b128407e,0x12235f06eab722f9b25a97a7adcbf44ec,0x13a6d6005b67c299ced4374f17cba0e7b,0x1506e734dfc92653f622e19432e441239,0x162b92a4fb02c9c886992689d17bbadc0,0xe10ba24fa6b35ed8520f7e78c07f930b,0xf0caac31215c6cca3582bc21f486f134,0x89ba32a1eb432357ffef537afec4fa9b,0x15aae59ce42141f26f08f05b819d69fc0,0x15278387260c46df3f6a9cb25ae93db95,0xfdbbc49a2f598a936af20a9fbf60f2b0,0xbdb10c115e5316d8ff2e9fd8242fb654,0x186b089e085e96ca5addb5930164bb446,0x15e569a098b780a0aaf18773ebbf56882,0xe95ff9f59f25e5b745cf668292b7ebec,0x10e911ba4858d6bab37fbbf021e47f360,0x1b8ef214e8b4e03dfbb519b0f125945b1,0x1f0499790d4ecad409d51ae36ebe2a94d,0x141f97333f77cc67fdf4a8ed0b5d33a7a,0xecdafd676394bf32be2783e4773af544,0xbea72e0834971472afb59362d96e8c6c,0x1c6e0a657f98efb3d47c49c1734f31938,0x63125a43491c481616743367428cf917,0x11579b3b4c78da596bb3f48f6d10d513c,0x11fc4b7a356c958f56079ab5b90e73bfa,0xf8ebf21ca7a1eb69998aa13802beee42,0x1b2bb27f3729c833c6a95c938b81a8084,0xdd400200c7562dc0599f58cbe1a3fc65,0xf489afd0657a6582750a3c1b8bcd2e70,0x9a91576391f4d587c16911026c3dc5b1,0xe9a1a3a6e5759bd8d2722e4e5a0918e0,0x1f65bc4e02de242f562b86b01e025fc96,0x1cffbe319966893e86075780b08638fd0,0x189b3148799f04eea9a1336e67be3c27e,0x1ba31715353e9c2c7bdb56699053573d2,0x1990c5eee990661603fa04a2a26fb3ecc,0x1ab831b8bec4e61eaead27aa85ebb9fb5,0xc49551cc778e34ae322885adc4e90fdb,0x107f941ffda63a5d3a76418f5ee64f49c,0xbed8c33ce7ec7b2558ac0daad2a1af5e,0x190f95d157384d46dc53faa423100e1db,0x1b50e799f7da3f3154ac1b586f0820876,0x1e9b57ac240b395cc6e8e99f05a438cec,0x15fbe11397f3325c9fed42c7091d234a2,0xddc2494a8bb2bf6f73ec4b05b77e000d,0x51e7d40167b5c573a27432783b6ff5f6,0xf2a8bc3a1df011c0609a561b6473b4b3,0xb0d49f0fd521ac41c5a32ffee761cc95,0x10c46fc86e6789c7e4480b90ccc9d04f3,0x12342fbadc0ca9418f2d540bb3cb8364a,0x16d1816bc5d185c47de080d4c6a64bc9a,0x14f480f24c435af1b8574c1c6bab38a1c,0x1c7fc724d0a4f89ed1de8a0a4b302db22,0x187454451b5ef5c6ad7377c21d9adbfe2
0,-0.5000000000093889,0.8660254037790179,0.12601133812094278,-0.9920288013283532,2018-06-25 00:00:00,48.5,3.535,6.9705,50.56399999999999,23.057,12.942,5.791,24.46,36.416,10.899,3.1459999999999995,0.6789999999999998,13.246999999999998,43.3215,12.457,9.028,22.215,18.135,40.869,13.0705,7.111999999999999,2.284,0.3809999999999998,1.941,0.308,2.169,1.2539999999999998,2.269,2.723,14.051,1.5719999999999998,2.377,3.95,1.326,1.969,2.337,5.5175,8.988999999999999,2.447,0.976,2.276,3.792,5.9925,3.558,8.391,0.588,0.774,0.901,2.5064999999999995,0.0999999999999999,1.142,0.1709999999999999,3.872,3.768,1.142,3.311,1.678,1.835,3.1585,0.8180000000000001,1.5199999999999998
1,-0.38268343237082186,0.9238795325089124,0.1256557956540709,-0.9920738989705064,2018-06-25 00:30:00,44.99,2.604,4.789499999999999,42.285,16.694999999999997,11.827,3.475,21.9665,30.3065,12.036,2.199,0.7189999999999999,8.931,38.3075,12.081,7.484999999999999,16.808,20.886,30.392,12.815499999999998,5.476999999999999,2.753,0.4419999999999999,2.566,0.4579999999999999,2.059,0.7879999999999999,1.7689999999999997,1.863,12.186,1.923,1.815,2.75,1.3629999999999995,1.2799999999999998,3.3999999999999995,8.8465,8.22,1.709,0.6159999999999999,1.972,1.979,3.498,2.36,7.761,0.978,0.5920000000000001,0.8769999999999999,2.527,0.479,0.815,0.1729999999999999,1.959,1.954,1.235,1.7939999999999994,0.412,1.941,4.3335,1.4775,1.979
2,-0.2588190451040347,0.9659258262886626,0.12530023704743543,-0.9921188691864783,2018-06-25 01:00:00,38.0675,1.5299999999999996,3.795,41.739,17.706,8.427999999999999,3.5619999999999994,18.7105,33.549499999999995,8.122,1.7709999999999997,0.7379999999999999,8.648,36.987,16.151999999999997,7.321999999999999,15.104,16.1225,30.043,13.017,5.2325,2.633,0.598,1.59,0.328,5.234,0.847,1.4339999999999995,2.475,11.456499999999998,0.972,2.242,4.742,1.231,1.61,2.1699999999999995,6.442,8.196,1.692,0.597,2.5715,1.829,3.1705,3.341,4.481,0.761,0.4509999999999999,1.099,2.036,0.073,0.5129999999999999,0.2409999999999998,1.841,2.103,0.6990000000000001,1.814,0.6100000000000001,1.46,1.8105,1.0405,2.614
3,-0.13052619223143558,0.9914448613723117,0.12494466234670587,-0.9921637119704931,2018-06-25 01:30:00,31.1175,2.167,2.842,42.283,16.258,8.684,4.823,20.5195,35.875499999999995,10.087,2.216,0.5649999999999998,7.421999999999999,36.109,11.618,5.199,13.537,14.8785,25.94,12.315,4.574,3.64,0.218,2.183,0.191,2.68,0.886,3.132,2.037,8.835499999999998,0.743,2.116,4.186,1.425,0.986,1.995,5.5445,9.387,1.6969999999999998,0.5759999999999998,1.9825,1.7639999999999998,2.8515,2.362,5.893999999999999,0.622,0.495,0.8019999999999996,2.1009999999999995,0.062,0.6159999999999999,0.274,2.036,3.929,0.7009999999999998,2.366,0.356,1.6969999999999998,2.3175,2.336,2.175
4,-6.84518003173359e-12,1.0,0.12458907159755372,-0.9922084273167909,2018-06-25 02:00:00,33.21,1.5259999999999996,3.161,42.363,17.159,9.191999999999998,3.826,19.353,29.0585,10.226,2.522,0.4029999999999998,7.707999999999999,35.2145,8.907,5.887999999999999,15.774,14.919,30.485,10.326,5.509,2.047,0.5929999999999997,1.6029999999999998,0.456,1.627,0.589,1.463,2.197,11.4825,1.451,1.817,3.095,1.548,1.75,2.156,5.679,8.51,1.418,0.5439999999999999,1.5195,2.211,2.5625,2.264,5.363,0.6039999999999999,0.5319999999999999,0.803,2.744,0.106,0.7549999999999999,0.092,3.19,2.329,0.864,1.886,0.565,2.055,2.121,0.9115,2.468
5,0.13052619221786232,0.9914448613740986,0.12423346484565258,-0.9922530152196284,2018-06-25 02:30:00,36.8495,1.4,5.016,46.373,18.549,10.796,4.675,22.2405,36.9325,7.972999999999999,1.845,0.446,7.109999999999999,36.7775,12.235,6.464,19.72,15.750999999999998,35.889,10.4655,5.767499999999999,1.902,0.3779999999999998,1.5279999999999998,0.4479999999999997,2.723,0.9069999999999998,2.453,2.658,14.7105,1.16,2.12,2.732,1.399,1.835,2.63,5.487,7.591,2.793,0.4759999999999999,2.1514999999999995,1.662,2.9985,3.124,6.513,0.851,1.148,0.8929999999999999,1.879,0.1819999999999998,1.261,0.1449999999999999,3.481,1.6459999999999997,0.7229999999999999,1.7609999999999997,0.424,1.235,2.869,1.136,2.424
6,0.25881904509081083,0.9659258262922059,0.12387784213667807,-0.9922974756732783,2018-06-25 03:00:00,44.6635,2.441,7.169499999999999,54.667,21.489,10.736,4.871,26.9895,39.011,10.218,2.267,0.5389999999999999,10.999999999999998,36.9865,13.409999999999998,7.500999999999999,24.756,18.779,37.364,12.2175,6.0485,3.349,0.4149999999999998,1.336,1.277,2.122,1.969,4.775,2.877,16.2745,1.813,2.909,3.619,1.425,2.523,2.023,6.314499999999999,11.184,1.845,1.01,1.931,3.647,4.051,2.025,6.004,1.117,0.4799999999999998,0.96,2.83,0.0879999999999999,0.5689999999999998,0.3599999999999999,3.179,4.216,1.3039999999999998,1.839,0.279,2.999,5.154999999999999,0.8465,3.056
7,0.3826834323581736,0.9238795325141516,0.12352220351630791,-0.99234180867203,2018-06-25 03:30:00,45.302,2.323,4.0615,50.709,25.489,14.561,5.534,25.553,39.984,12.85,3.145,0.2629999999999999,10.668,48.373,11.822,10.389,25.222,18.1805,44.341,16.1515,6.17,2.004,0.394,4.324999999999999,0.211,3.503,2.169,2.2099999999999995,1.7799999999999998,14.140999999999998,3.564,2.202,5.132,1.6529999999999998,2.909,2.371,7.023,9.615,3.223,0.437,3.465,4.306,3.546,4.736,7.037999999999999,0.852,1.215,1.811,2.827,0.159,1.1859999999999995,0.1209999999999998,2.12,3.327,1.146,3.4359999999999995,1.476,3.18,2.9605,0.965,1.899
8,0.4999999999975327,0.8660254037858631,0.1231665490302218,-0.9923860142101892,2018-06-25 04:00:00,31.1375,1.5499999999999998,2.9155,40.456,15.128999999999998,8.907,4.499999999999999,20.262,27.5495,8.186,2.203,0.5959999999999999,8.100999999999999,36.7775,10.282,6.733999999999999,14.939,14.566999999999998,29.195,11.039,5.555,2.916,0.5159999999999999,2.61,0.4039999999999999,2.976,1.3489999999999998,1.938,1.4939999999999998,11.7535,2.547,2.566,3.012,0.8939999999999998,1.976,2.279,5.378499999999999,8.161999999999999,2.443,0.4039999999999999,1.7564999999999995,2.015,3.4195,3.084,7.074,0.4639999999999998,0.5079999999999999,1.816,1.889,0.092,0.6529999999999999,0.209,2.161,4.082,1.605,3.037,0.428,2.294,2.5895,1.0404999999999998,2.234
9,0.6087614289985944,0.7933533402990053,0.12281087872410154,-0.9924300922820781,2018-06-25 04:30:00,36.6075,1.986,4.262499999999999,42.248,16.137999999999998,9.309,4.398,20.6425,34.0715,11.178,2.119,0.5599999999999998,8.274,35.933499999999995,10.555,8.762,15.969,14.691999999999998,30.02,11.4645,6.6475,1.5349999999999997,0.376,1.622,0.174,4.129,1.097,1.911,3.066,11.413999999999998,1.023,2.22,3.07,0.98,1.347,2.274,5.185,5.106,2.57,0.727,2.7305,1.7439999999999998,3.53,3.0,5.135,0.745,0.5429999999999999,0.8799999999999999,2.611,0.069,1.222,0.0579999999999999,2.06,2.564,0.9449999999999998,1.705,0.571,1.3229999999999995,3.8375,1.1715,2.169
